Date_recorded,Picture_url,Title,Year,Type,Mileage,Engine Size,BHP,Transmition,Fuel Type,Price 
2019-02-10, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/683566f3180f4c938b756ff17cdcabb1.jpg, Volkswagen Golf 2.0 TSI GTI 5dr [Performance Pack/Nav] - LED …, 2016 (16 reg), Hatchback, 27985 miles, 2.0L, 217bhp, Manual, Petrol, 18798
2019-02-10, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/7d7c15513409483a9d3a65b4c9967900.jpg, Volkswagen Golf GTI 2.0 5dr, 2017 (17 reg), Hatchback, 26929 miles, 2.0L, 217bhp, Manual, Petrol, 18800
2019-02-10, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/4165292559f349f7a8d55c786175835c.jpg, Volkswagen Golf Gti - XENONS - HEATED SEATS - WIFI 2.0 5dr, 2016 (66 reg), Hatchback, 22276 miles, 2.0L, 217bhp, Manual, Petrol, 18846
2019-02-10, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/1e7cc189a329450c8334f7cf4ea5564b.jpg, Volkswagen Golf 2.0 TSI GTI (Performance pack) DSG 5dr, 2016 (66 reg), Hatchback, 42474 miles, 2.0L, 227bhp, Automatic, Petrol, 18990
2019-02-10, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/2a358346e3ba404ea9637f0552a3d1db.jpg, Volkswagen Golf 2.0 TSI GTI (Performance pack) DSG 5dr, 2015 (65 reg), Hatchback, 31548 miles, 2.0L, 227bhp, Automatic, Petrol, 18990
2019-02-10, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/1fc6071c698040b195782f1028af44b7.jpg, Volkswagen Golf 2.0 Tsi Gti 5Dr Petrol Hatchback, 2016 (16 reg), Hatchback, 15422 miles, 2.0L, 217bhp, Manual, Petrol, 18995
2019-02-10, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/b8207ccb2b244fb1b4ded3652d016232.jpg, Volkswagen Golf GTI DSG 2.0 5dr, 2017 (66 reg), Hatchback, 16727 miles, 2.0L, 217bhp, Automatic, Petrol, 19700
2019-02-10, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/d6f118e3939a4c26aef0873375b499c5.jpg, Volkswagen Golf Hatchback 2.0 TSI GTI 5dr DSG [Leather], 2012 (12 reg), Hatchback, 43726 miles, 2.0L, 232bhp, Automatic, Petrol, 14100
2019-02-10, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/c1410cda1f5344f2b822774ba1fdf7ef.jpg, Volkswagen Golf Hatchback 2.0 TSI GTI 5dr, 2015 (65 reg), Hatchback, 35377 miles, 2.0L, 217bhp, Manual, Petrol, 16200
2019-02-10, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/c533c3d8ac3b4de68e95e929dbbcdbc1.jpg, Volkswagen Golf 2.0 TSI GTI 5dr [Performance Pack/Nav], 2016, Hatchback, 27575 miles, Manual, Petrol, , , 18995
2019-02-10, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/b89a252859054058b80b4cfaca1fa79e.jpg, Volkswagen Golf 2.0 TSI GTI 5dr [Nav], 2017 (17 reg), Hatchback, 19997 miles, 2.0L, 217bhp, Manual, Petrol, 18999
